ID	RA	Dec	Nobs	obs_dates
UW435	9.550778999999999	12.720360000000001	0	[]
UW436	9.719589	12.720360000000001	0	[]
UW437	9.888399	12.720360000000001	0	[]
UW438	10.057209	12.720360000000001	0	[]
UW439	10.226019	12.720360000000001	0	[]
UW440	10.394829	12.720360000000001	0	[]
UW441	10.563638000000001	12.720360000000001	0	[]
UW442	10.732448	12.720360000000001	0	[]
UW443	10.901258	12.720360000000001	0	[]
UW444	11.070068	12.720360000000001	0	[]
UW445	11.238878	12.720360000000001	0	[]
UW446	11.407688	12.720360000000001	0	[]
UW447	11.576497999999999	12.720360000000001	0	[]
UW448	11.745308	12.720360000000001	0	[]
UW449	11.914117	12.720360000000001	0	[]
UW450	12.082927	12.720360000000001	0	[]
UW451	12.251737	12.720360000000001	0	[]
UW452	12.420547000000001	12.720360000000001	0	[]
UW453	12.589357000000001	12.720360000000001	0	[]
UW454	12.758167	12.720360000000001	0	[]
UW455	12.926977	12.720360000000001	0	[]
UW456	13.095787	12.720360000000001	0	[]
UW457	13.264596	12.720360000000001	0	[]
UW458	13.433406	12.720360000000001	0	[]
UW459	13.602216	12.720360000000001	0	[]
UW460	13.771026	12.720360000000001	0	[]
UW461	13.939835999999998	12.720360000000001	0	[]
UW462	14.108645999999998	12.720360000000001	0	[]
UW463	14.277455999999999	12.720360000000001	0	[]
UW464	14.446266	12.720360000000001	0	[]
UW465	14.615075	12.720360000000001	0	[]
UW466	14.783885	12.720360000000001	0	[]
UW467	14.952695	12.720360000000001	0	[]
UW468	15.121504999999999	12.720360000000001	0	[]
UW469	15.290315	12.720360000000001	0	[]
UW470	15.459125	12.720360000000001	0	[]
UW471	15.627935	12.720360000000001	0	[]
UW472	15.796745000000001	12.720360000000001	0	[]
UW473	15.965554000000001	12.720360000000001	0	[]
UW474	16.134364	12.720360000000001	0	[]
UW475	16.303174	12.720360000000001	102	['2021-08-24' '2021-08-25']
UW476	16.471984	12.720360000000001	107	['2021-08-04']
UW477	16.640794	12.720360000000001	125	['2021-06-16']
UW478	16.809604	12.720360000000001	127	['2021-05-14']
UW479	7.616378	14.525360000000001	247	['2020-11-16']
UW480	7.786482	14.525360000000001	229	['2020-12-09']
UW481	7.956586	14.525360000000001	116	['2021-02-03' '2021-02-04']
UW482	8.12669	14.525360000000001	108	['2021-03-04']
UW483	8.296793	14.525360000000001	0	[]
UW484	8.466897	14.525360000000001	0	[]
UW485	8.637001	14.525360000000001	0	[]
UW486	8.807105	14.525360000000001	0	[]
UW487	8.977208000000001	14.525360000000001	0	[]
UW488	9.147312	14.525360000000001	0	[]
UW489	9.317416	14.525360000000001	0	[]
UW490	9.48752	14.525360000000001	0	[]
UW491	9.657623	14.525360000000001	0	[]
UW492	9.827727000000001	14.525360000000001	0	[]
UW493	9.997831	14.525360000000001	0	[]
UW494	10.167935	14.525360000000001	0	[]
UW495	10.338038000000001	14.525360000000001	0	[]
UW496	10.508142	14.525360000000001	0	[]
UW497	10.678246000000001	14.525360000000001	0	[]
UW498	10.848349	14.525360000000001	0	[]
UW499	11.018453	14.525360000000001	0	[]
UW500	11.188557000000001	14.525360000000001	0	[]
UW501	11.358661	14.525360000000001	0	[]
UW502	11.528764	14.525360000000001	0	[]
UW503	11.698868	14.525360000000001	0	[]
UW504	11.868972	14.525360000000001	0	[]
UW505	12.039076	14.525360000000001	0	[]
UW506	12.209178999999999	14.525360000000001	0	[]
UW507	12.379283000000001	14.525360000000001	0	[]
UW508	12.549387	14.525360000000001	0	[]
UW509	12.719491	14.525360000000001	0	[]
UW510	12.889594	14.525360000000001	0	[]
UW511	13.059698	14.525360000000001	0	[]
UW512	13.229802	14.525360000000001	0	[]
UW513	13.399906	14.525360000000001	0	[]
UW514	13.570008999999999	14.525360000000001	0	[]
UW515	13.740113000000001	14.525360000000001	0	[]
UW516	13.910217000000001	14.525360000000001	0	[]
UW517	14.080321	14.525360000000001	0	[]
UW518	14.250423999999999	14.525360000000001	0	[]
UW519	14.420528	14.525360000000001	0	[]
UW520	14.590632000000001	14.525360000000001	0	[]
